,,,,
,,,,
,,,,
,,,,
,Iristel International Carrier ,,,
,Wholesale Voice Pricelist,,,
,,,,
,Customer:,Jive Communications Inc.,,
,Issued By:,Rates Department Iristel Inc.,,
,Network:,ONNET,,
,Currency:,USD,,
,Time Zone:,"(GMT  00:00) Greenwich Mean Time, London",,
,,,,
,Destination,Prefixes,Rate per minute,
,Canada -  Saskatchewan 639,1639,0.0025,
,Canada - Alberta 403,1403,0.0025,
,Canada - Alberta 587,1587,0.0025,
,Canada - Alberta 780,1780,0.0025,
,Canada - British Columbia 236,1236,0.0025,
,Canada - British Columbia 250,1250,0.0025,
,Canada - British Columbia 604,1604,0.0025,
,Canada - British Columbia 778,1778,0.0025,
,Canada - Manitoba 204,1204,0.0025,
,Canada - Manitoba 431,1431,0.0025,
,Canada - New Brunswick 506,1506,0.0025,
,Canada - Newfoundland 709,1709,0.0025,
,Canada - Nova Scotia 902,1902,0.0025,
,Canada - Ontario 226,1226,0.0025,
,Canada - Ontario 249,1249,0.0025,
,Canada - Ontario 289,1289,0.0025,
,Canada - Ontario 343,1343,0.0025,
,Canada - Ontario 365,1365,0.0025,
,Canada - Ontario 416,1416,0.0025,
,Canada - Ontario 437,1437,0.0025,
,Canada - Ontario 519,1519,0.0025,
,Canada - Ontario 613,1613,0.0025,
,Canada - Ontario 647,1647,0.0025,
,Canada - Ontario 705,1705,0.0025,
,Canada - Ontario 807,1807,0.0025,
,Canada - Ontario 905,1905,0.0025,
,Canada - Quebec 418,1418,0.0025,
,Canada - Quebec 438,1438,0.0025,
,Canada - Quebec 450,1450,0.0025,
,Canada - Quebec 514,1514,0.0025,
,Canada - Quebec 579,1579,0.0025,
,Canada - Quebec 581,1581,0.0025,
,Canada - Quebec 819,1819,0.0025,
,Canada - Quebec 873,1873,0.0025,
,Canada - Saskatchewan 306,1306,0.0025,
,Canada - Yukon & Nwt 867,1867,0.08,
,Toll-free - Proper,1800,0.0025,
,Toll-free - Proper,1833,0.0025,
,Toll-free - Proper,1844,0.0025,
,Toll-free - Proper,1855,0.0025,
,Toll-free - Proper,1866,0.0025,
,Toll-free - Proper,1877,0.0025,
,Toll-free - Proper,1888,0.0025,